team1,team2,possession team1,possession team2,possession in contest,number of goals team1,number of goals team2,category,total attempts team1,total attempts team2,conceded team1,conceded team2,goal inside the penalty area team1,goal inside the penalty area team2,goal outside the penalty area team1,goal outside the penalty area team2,assists team1,assists team2,yellow cards team1,yellow cards team2,red cards team1,red cards team2,fouls against team1,fouls against team2,passes team1,passes team2,passes completed team1,passes completed team2,penalties scored team1,penalties scored team2,goal preventions team1,goal preventions team2,forced turnovers team1,forced turnovers team2,GroupID,attendance,venue,formation team1,formation team2,total_goals,total_passes,total_fouls,possession win
Tunisia,France,30,56,14,1,0,Group,5,9,0,1,0,0,1,0,1,0,1,0,0,0,14,6,328,636,266,566,0,0,11,6,68,80,D,43627,Education City Stadium,3-4-3,4-3-3,1,832,20,Loss
Poland,Argentina,24,67,9,0,2,Group,4,25,2,0,0,2,0,0,0,2,1,1,0,0,6,11,321,862,261,814,0,0,25,4,67,48,C,44089,Stadium 974,4-4-2,4-3-3,2,1075,17,Win
Saudi Arabia,Mexico,29,55,17,1,2,Group,10,25,2,1,1,1,0,1,1,1,6,1,0,0,20,18,297,412,197,336,0,0,26,10,82,76,C,84985,Lusail Iconic Stadium,4-4-2,4-2-3-1,3,533,38,Win
Croatia,Belgium,43,47,10,0,0,Group,11,15,0,0,0,0,0,0,0,0,0,1,0,0,7,9,578,596,504,531,0,0,16,11,70,68,F,43984,Ahmed bin Ali Stadium,4-3-3,4-2-3-1,0,1035,16,Draw
Canada,Morocco,52,36,12,1,2,Group,5,7,2,1,0,1,0,1,0,1,4,0,0,0,14,14,539,384,472,308,0,0,7,7,66,72,F,43102,Al Thumama Stadium,4-4-1-1,4-3-3,3,780,28,Loss
Japan,Spain,14,78,8,2,1,Group,6,14,1,2,1,1,1,0,2,1,3,0,0,0,9,6,225,1070,167,992,0,0,14,6,85,49,E,44851,Khalifa International Stadium,3-4-3,4-3-3,3,1159,15,Loss
Costa Rica,Germany,27,60,13,2,4,Group,8,32,4,2,2,4,0,0,0,4,1,0,0,0,3,9,347,727,269,661,0,0,32,8,79,77,E,67054,Al Bayt Stadium,5-4-1,4-2-3-1,6,930,12,Win
Ghana,Uruguay,46,39,15,0,2,Group,9,12,2,0,0,2,0,0,0,1,2,5,0,0,18,11,460,446,377,361,0,0,12,9,92,84,H,43443,Al Janoub Stadium,4-2-3-1,4-4-2,2,738,29,Loss
Korea Republic,Portugal,34,55,11,2,1,Group,12,12,1,2,2,1,0,0,1,1,2,0,0,0,9,11,359,606,304,541,0,0,14,12,54,50,H,44097,Education City Stadium,4-3-3,4-3-3,3,845,20,Loss
Serbia,Switzerland,45,41,14,2,3,Group,11,14,3,2,2,3,0,0,1,3,7,4,0,0,18,13,476,403,390,325,0,0,14,10,74,82,G,41378,Stadium 974,3-4-1-2,4-2-3-1,5,715,31,Loss
